ID,Age,Salary,Department,JoinDate,Rating
1,25.0,50000.0,IT,2020-01-15,4.5
2,30.0,60000.0,HR,2019-03-22,3.8
3,45.0,85000.0,Finance,2018-06-12,4.0
4,28.0,45000.0,IT,2021-07-19,3.9
5,50.0,68500.0,HR,2017-11-11,4.1
6,35.0,70000.0,Finance,2016-08-08,4.055555555555555
7,37.0,65000.0,IT,2022-09-23,3.7
8,42.0,48000.0,Marketing,2015-04-04,4.3
9,31.0,55000.0,Marketing,2020-12-31,4.0
10,26.0,40000.0,IT,2021-05-06,3.6
11,29.0,52000.0,HR,2019-01-17,4.4
12,37.0,76000.0,Finance,2018-03-14,4.055555555555555
13,41.0,67000.0,Marketing,2021-06-30,4.2
14,33.0,62000.0,IT,2020-07-22,3.5
15,27.0,49000.0,HR,2017-09-10,3.8
16,52.0,89000.0,Finance,2019-11-15,4.6
17,36.0,72000.0,Marketing,2018-08-20,4.055555555555555
18,39.0,58000.0,IT,2016-02-29,4.1
19,34.0,60000.0,HR,2015-11-13,3.9
20,46.0,85000.0,Finance,2021-02-25,4.3
21,48.0,82000.0,Marketing,2019-04-28,4.0
22,32.0,64000.0,IT,2020-10-18,3.7
23,40.0,68000.0,HR,2018-01-25,4.2
24,28.0,53000.0,Finance,2017-07-07,4.0
25,44.0,87000.0,Marketing,2016-05-02,4.4
26,38.0,75000.0,IT,2015-03-31,3.8
27,35.0,70000.0,HR,2022-08-14,4.3
28,29.0,55000.0,Finance,2021-11-16,4.055555555555555
29,50.0,83000.0,Marketing,2019-05-09,4.5
30,47.0,79000.0,IT,2018-10-25,4.1
31,43.0,71000.0,HR,2017-06-21,3.9
32,33.0,63000.0,Finance,2016-04-01,4.0
33,26.0,51000.0,Marketing,2020-02-18,3.7
34,37.0,76000.0,IT,2019-09-13,4.2
35,31.0,56000.0,HR,2018-11-05,3.6
36,39.0,80000.0,Finance,2021-03-26,4.3
37,42.0,69000.0,Marketing,2020-08-27,4.055555555555555
38,28.0,54000.0,IT,2017-12-10,3.8
39,50.0,88000.0,HR,2016-06-15,4.5
40,36.0,72000.0,Finance,2015-02-12,4.0
41,44.0,84000.0,Marketing,2022-05-18,4.1
42,47.0,78000.0,IT,2019-10-07,4.3
43,33.0,60000.0,HR,2018-02-22,3.9
44,38.0,75000.0,Finance,2020-06-30,4.2
45,26.0,52000.0,Marketing,2017-05-23,3.8
46,45.0,86000.0,IT,2016-09-19,4.6
47,40.0,68000.0,HR,2015-01-28,4.1
48,35.0,71000.0,Finance,2021-08-11,4.055555555555555
49,29.0,54000.0,Marketing,2020-03-25,3.7
50,37.0,78000.0,IT,2019-12-29,4.2
